card_number,word,part_of_speech,definition,sample_sentence,synonyms_top_3,antonyms_top_3,root
171,Portent,noun,A sign or warning that something important may happen.,The sudden silence felt like a portent of trouble.,"omen, sign, warning","assurance, comfort, normality","Latin portendere, foretell."
172,Protracted,adjective,Lasting longer than expected.,The lawsuit became a protracted battle over ownership.,"extended, prolonged, drawn-out","brief, short, quick","Latin pro-, forth + trahere, draw."
173,Raucous,adjective,"Loud, rough, and disorderly.",Raucous laughter filled the crowded room.,"loud, rowdy, harsh","quiet, calm, subdued","Latin raucus, hoarse."
174,Repudiate,verb,To reject or refuse to accept.,The senator repudiated the false statement.,"reject, disown, renounce","accept, affirm, endorse","Latin repudiare, reject or divorce."
175,Opulent,adjective,"Rich, luxurious, or lavish.","The hotel lobby was opulent, with marble floors and chandeliers.","luxurious, lavish, sumptuous","plain, poor, austere","Latin opulentus, wealthy."
176,Ornate,adjective,Highly decorated or elaborate.,The temple had ornate carvings above every doorway.,"decorated, elaborate, embellished","plain, simple, austere","Latin ornare, adorn."
177,Wreak,verb,To cause great damage or harm.,The storm could wreak havoc along the coast.,"inflict, cause, unleash","repair, prevent, protect","Old English wrecan, drive or avenge."
178,Anomaly,noun,Something that differs from what is normal or expected.,The strange reading was an anomaly in the data.,"irregularity, oddity, exception","norm, regularity, standard","Greek anomalia, irregularity."
179,Assimilate,verb,"To absorb, integrate, or become similar to a group.",New employees need time to assimilate into the company.,"absorb, integrate, incorporate","separate, reject, exclude","Latin ad-, to + similis, like."
180,Acquiesce,verb,To accept something reluctantly but without protest.,She chose to acquiesce rather than prolong the argument.,"consent, yield, comply","resist, refuse, protest","Latin ad-, to + quiescere, rest."
181,Apprehension,noun,Anxiety about the future; also understanding or capture.,He felt apprehension before the final interview.,"anxiety, fear, unease","confidence, calm, assurance","Latin apprehendere, seize or grasp."
182,Ostentatious,adjective,Showy in a way meant to impress others.,The party featured ostentatious displays of wealth.,"showy, flashy, pretentious","modest, plain, understated","Latin ostentare, display."
183,Latent,adjective,Existing but not yet active or visible.,The illness can remain latent for years.,"hidden, dormant, undeveloped","active, visible, obvious","Latin latere, lie hidden."
184,Morass,noun,"A complicated, confusing, or muddy situation.",The simple dispute became a legal morass.,"quagmire, mess, tangle","clarity, order, solution","Dutch moeras, marsh."
185,Onerous,adjective,"Burdensome, difficult, or requiring much effort.",The new reporting rules were onerous for small firms.,"burdensome, taxing, arduous","easy, light, effortless","Latin onus, burden."
186,Paucity,noun,A small or insufficient amount.,The report suffered from a paucity of reliable evidence.,"scarcity, shortage, lack","abundance, plenty, surplus","Latin paucus, few."
187,Reproach,verb,To express disapproval or disappointment.,She reproached him for breaking his promise.,"rebuke, criticize, scold","praise, approve, commend","Old French reprochier, blame or bring back."
188,Tribulation,noun,"Great trouble, suffering, or distress.",The family survived many tribulations during the war.,"hardship, suffering, ordeal","comfort, ease, joy","Latin tribulum, threshing board."
189,Abrasive,adjective,"Harsh, rough, or irritating in manner or texture.",His abrasive tone made collaboration difficult.,"harsh, rough, irritating","gentle, smooth, kind","Latin abradere, scrape away."
190,Anarchy,noun,A state of disorder caused by lack of authority.,"After the power failed, the station fell into anarchy.","chaos, disorder, lawlessness","order, government, control","Greek an-, without + arkhos, ruler."
191,Benign,adjective,"Kind, gentle, or not harmful.",The doctor said the growth was benign.,"harmless, gentle, kind","harmful, malignant, hostile","Latin benignus, kind; bene, well."
192,Cynic,noun,A person who distrusts motives or expects selfishness.,The cynic doubted that the donation was sincere.,"skeptic, pessimist, doubter","idealist, believer, optimist","Greek kynikos, dog-like; Cynic philosophers."
193,Myriad,noun,A very large number or great variety.,The market offered a myriad of spices and fruits.,"multitude, host, abundance","few, scarcity, handful","Greek myrias, ten thousand."
194,Incontrovertible,adjective,Impossible to dispute or deny.,The video provided incontrovertible proof of the error.,"undeniable, indisputable, irrefutable","disputable, doubtful, questionable","Latin in-, not + controvertere, dispute."
195,Nadir,noun,The lowest point.,The scandal marked the nadir of his career.,"low point, bottom, depths","peak, zenith, summit","Arabic nazir, opposite; lowest point in astronomy."
196,Paragon,noun,A model of excellence or perfection.,She was considered a paragon of integrity.,"model, exemplar, ideal","failure, flaw, disgrace","Italian paragone, touchstone or model."
197,Ramify,verb,To branch out or spread into subdivisions.,The decision will ramify through every department.,"branch, spread, extend","concentrate, simplify, unite","Latin ramus, branch + facere, make."
198,Scrutiny,noun,Careful and critical examination.,The budget came under intense scrutiny.,"inspection, examination, review","neglect, glance, disregard","Latin scrutari, search."
199,Resilient,adjective,Able to recover quickly from difficulty.,The resilient community rebuilt after the flood.,"tough, flexible, hardy","fragile, weak, vulnerable","Latin resilire, spring back."
200,Luster,noun,A soft shine or attractiveness.,Polishing restored the luster of the silver.,"shine, gloss, radiance","dullness, tarnish, dimness","Latin lustrare, illuminate or shine."
201,Mutiny,noun,"A rebellion against authority, especially on a ship.",The captain feared a mutiny after weeks at sea.,"rebellion, revolt, uprising","obedience, loyalty, submission","Old French mutiner, revolt."
202,Disparate,adjective,Essentially different or not comparable.,The study combined data from disparate sources.,"different, distinct, unrelated","similar, alike, comparable","Latin disparatus, separated."
203,Sagacity,noun,Wisdom and good judgment.,Her sagacity helped the family avoid a bad investment.,"wisdom, insight, prudence","foolishness, stupidity, folly","Latin sagax, wise or keen-scented."
204,Pallid,adjective,"Pale, weak, or lacking intensity.",He looked pallid after the long illness.,"pale, wan, colorless","rosy, vivid, flushed","Latin pallidus, pale."
205,Obstinate,adjective,Stubbornly refusing to change.,The obstinate driver ignored every warning sign.,"stubborn, inflexible, headstrong","flexible, compliant, yielding","Latin obstinare, persist."
206,Quotidian,adjective,Ordinary or occurring every day.,The novel finds beauty in quotidian routines.,"everyday, ordinary, common","rare, unusual, extraordinary","Latin quotidianus, daily."
207,Propensity,noun,A natural tendency or inclination.,He has a propensity to ask difficult questions.,"inclination, tendency, leaning","aversion, reluctance, disinclination","Latin propensus, inclined."
208,Rectify,verb,To correct or make right.,The company moved quickly to rectify the billing error.,"correct, fix, remedy","damage, worsen, corrupt","Latin rectus, right + facere, make."
209,Rapport,noun,"A friendly, trusting relationship.",The tutor built rapport with the students quickly.,"connection, harmony, affinity","tension, conflict, estrangement","French rapporter, bring back; relation."
210,Inaugurate,verb,To begin formally or introduce into office.,The mayor will inaugurate the new park tomorrow.,"begin, launch, initiate","end, close, terminate","Latin augur, omen reader."
211,Loquacious,adjective,Very talkative.,The loquacious host kept the conversation moving.,"talkative, chatty, verbose","quiet, taciturn, silent","Latin loqui, speak."
212,Fledgling,noun,A beginner or newly developed person or organization.,The fledgling company needed experienced advisers.,"novice, beginner, newcomer","veteran, expert, professional","Old English fleogan, fly + -ling."
213,Incessant,adjective,Continuing without interruption.,The incessant rain flooded the sidewalks.,"constant, unending, continual","intermittent, occasional, brief","Latin in-, not + cessare, stop."
214,Recapitulate,verb,To summarize or repeat the main points.,The professor recapitulated the lesson before the exam.,"summarize, restate, review","expand, omit, ignore","Latin re-, again + capitulum, heading."
215,Fastidious,adjective,Very attentive to detail and hard to please.,The fastidious editor checked every comma.,"meticulous, exacting, fussy","careless, sloppy, indifferent","Latin fastidium, disgust or disdain."
216,Pervasive,adjective,Spreading widely throughout an area or group.,A pervasive smell of smoke filled the hall.,"widespread, prevalent, extensive","limited, rare, localized","Latin per-, through + vadere, go."
217,Reimburse,verb,To pay back money spent or lost.,The company will reimburse travel expenses.,"repay, refund, compensate","charge, withhold, take","re-, back + bourse, purse or money bag."
218,Pinnacle,noun,The highest point or level.,Winning the prize was the pinnacle of her career.,"peak, summit, apex","bottom, base, nadir","Latin pinnaculum, small peak."
219,Placate,verb,To calm someone who is angry.,The apology helped placate the upset client.,"appease, pacify, mollify","provoke, anger, inflame","Latin placare, calm."
220,Perennial,adjective,Lasting for a long time or recurring often.,Traffic is a perennial problem near the bridge.,"enduring, recurring, persistent","temporary, brief, short-lived","Latin per, through + annus, year."
221,Exigent,adjective,Urgent or requiring immediate attention.,The hospital focused on the most exigent cases first.,"urgent, pressing, critical","minor, optional, trivial","Latin exigere, demand or drive out."
222,Malady,noun,An illness or serious problem.,The doctor searched for the cause of the malady.,"illness, ailment, disease","health, wellness, cure","Old French maladie, illness."
223,Accede,verb,To agree to a request or assume office.,The board finally acceded to the workers' demands.,"agree, consent, comply","refuse, reject, dissent","Latin ad-, to + cedere, go or yield."
224,Punctilious,adjective,Strictly attentive to rules or details.,The clerk was punctilious about every form.,"meticulous, exact, scrupulous","careless, lax, negligent","Latin punctum, point."
225,Entail,verb,To involve or require as a necessary result.,The promotion will entail more travel.,"involve, require, necessitate","exclude, prevent, avoid","Old French taillier, cut or limit."
226,Quandary,noun,A state of uncertainty about what to do.,The two good offers left her in a quandary.,"dilemma, predicament, uncertainty","certainty, solution, decision",Origin uncertain; English state of doubt.
227,Proclivity,noun,A natural tendency to do something.,He has a proclivity for taking bold risks.,"inclination, tendency, propensity","aversion, disinclination, reluctance","Latin pro-, forward + clivus, slope."
228,Pastoral,adjective,"Related to country life, shepherds, or rural simplicity.",The painting shows a quiet pastoral scene.,"rural, rustic, bucolic","urban, industrial, metropolitan","Latin pastor, shepherd."
229,Turbulent,adjective,"Disorderly, unstable, or violently moving.",The plane shook in turbulent air.,"stormy, chaotic, unsettled","calm, stable, peaceful","Latin turba, crowd or disorder."
230,Stymie,verb,To block or hinder progress.,A missing permit could stymie the project.,"block, hinder, impede","help, advance, facilitate",Scottish golf term for a blocking ball.
231,Discern,verb,"To perceive, recognize, or distinguish.",She could discern a pattern in the noisy data.,"perceive, detect, distinguish","miss, overlook, confuse","Latin dis-, apart + cernere, separate."
232,Exhilarated,adjective,"Very happy, excited, and energized.",The runners felt exhilarated after finishing the race.,"elated, thrilled, energized","depressed, bored, dejected","Latin exhilarare, make cheerful."
233,Barter,verb,To trade goods or services without money.,The farmers bartered eggs for fresh bread.,"trade, exchange, swap","buy, sell, purchase","Old French barater, exchange or haggle."
234,Punitive,adjective,Intended as punishment.,The judge rejected the punitive fee as excessive.,"penal, disciplinary, retaliatory","forgiving, lenient, merciful","Latin punire, punish."
235,Recompense,verb,To repay or compensate for loss or effort.,The company recompensed him for the damaged equipment.,"compensate, repay, reward","penalize, deprive, withhold","Latin re-, back + compensare, weigh together."
236,Obfuscate,verb,To make something unclear or confusing.,The legal language obfuscated a simple rule.,"confuse, obscure, cloud","clarify, explain, illuminate","Latin ob-, over + fuscare, darken."
237,Paradigm,noun,"A model, pattern, or typical example.",The discovery changed the scientific paradigm.,"model, pattern, framework","anomaly, exception, irregularity","Greek paradeigma, pattern or example."
238,Philanthropic,adjective,Charitable or intended to help others.,The foundation funds philanthropic projects in education.,"charitable, benevolent, generous","selfish, greedy, miserly","Greek philos, loving + anthropos, human."
239,Obtain,verb,To get or acquire.,You must obtain a permit before building.,"get, acquire, secure","lose, forfeit, surrender","Latin ob-, toward + tenere, hold."
240,Servile,adjective,Overly submissive or eager to obey.,His servile flattery made the manager uncomfortable.,"submissive, obsequious, fawning","independent, assertive, proud","Latin servus, slave."
241,Reverberate,verb,To echo repeatedly or have a continuing effect.,The news reverberated through the community.,"echo, resound, resonate","muffle, silence, dampen","Latin re-, back + verberare, beat."
242,Coy,adjective,Pretending to be shy or unwilling to reveal information.,She gave a coy smile and refused to answer.,"shy, evasive, demure","frank, direct, open","Old French coi, quiet or still."
243,Dire,adjective,"Extremely serious, urgent, or terrible.",The drought created a dire need for water.,"terrible, urgent, grave","minor, hopeful, harmless","Latin dirus, fearful or dreadful."
244,Zenith,noun,the highest point of something,Her career reached its zenith after the award.,"height, high point, peak","bottom, base, nadir","Arabic samt, path or direction, source of zenith."
245,Tenacious,adjective,aggressively persistent at something,The tenacious lawyer kept asking questions until the truth emerged.,"firm, tight, strong","loose, weak, yielding","Latin tenax/tenere, holding fast."
246,Scintillating,adjective,brilliant; lively; stimulating; witty,The guest gave a scintillating speech that made the room laugh.,"sparkling, shining, bright","dull, boring, matte","Latin scintilla, spark."
247,Salient,adjective,prominent; of notable significance,The report highlighted the salient points before the meeting.,"important, major, principal","inconspicuous, insignificant, unimportant","Latin salire, to leap or jump."
248,Supercilious,adjective,aloof and superior,His supercilious tone made the new students uncomfortable.,"arrogant, haughty, snobbish","humble, modest, respectful","Latin supercilium, eyebrow; linked to raised-eyebrow pride."
249,Tenuous,adjective,flimsy; weak; of little substance,The argument was tenuous because it relied on guesses.,"fragile, weak, flimsy","strong, thick, substantial","Latin tenuis, thin or slender."
250,Truncate,verb,"to shorten, often by cutting off",The editor had to truncate the article to fit the page.,"cut, pare, reduce","lengthen, extend, expand","Latin truncare, to cut off or maim."
251,Serendipity,noun,luck; finding good things you were not even looking for,"By serendipity, we found the perfect cafe while lost.","good luck, chance, coincidence","mishap, bad luck, misfortune","Coined from Serendip, old name for Sri Lanka."
252,Venerable,adjective,respectable because of age or achievements,The venerable professor still advised young scientists.,"respected, revered, honored","dishonorable, disreputable, irreverent","Latin venerari, to worship or revere."
